Algorithm,N1,N2,N3,N4,N5,N6,m1,m2,p,OptimalCost,Rank
FOX, 37,17,17,42,17,72, 3.00,3.00,5, 2.892500e+22, 5
PLO, 38,17,17,17,17,74, 3.00,3.00,5, 9.825000e+21, 3
EPLO, 38,17,17,18,17,74, 3.00,3.00,5, 9.525000e+21, 2
ALO, 25,28,19,46,20,69, 3.00,3.00,5, 3.927000e+23, 7
BA, 39,25,22,46,19,59, 3.00,3.00,5, 1.568257e+24, 9
GSA, 30,28,21,46,19,61, 3.00,3.00,5, 1.132500e+24, 8
HHO, 38,17,17,17,17,74, 3.00,3.00,5, 9.825000e+21, 4
MFO, 17,17,17,46,17,65, 3.00,3.00,5, 3.316000e+23, 6
OOA, 96,14,14,17,14,48, 3.00,3.00,5, 1.700000e+01, 1
