N,A,R,DV_mean,Sobol_mean,Seed_mean,DV_std,Sobol_std,Seed_std
100,10,30,69.241003747381,63.8311475803696,65.1678464733659,3.9478162952559,3.19376961939991,3.81666689224541
100,10,40,76.0934298756644,57.9666645228464,57.509075442749,4.76266070801506,3.97106510464016,4.06682580618515
100,20,30,74.3380455133702,58.2803813228237,58.013443832485,5.01156120675323,4.74583736785469,3.53622603298265
100,20,40,83.5270225533427,48.544220776786,48.8402606028749,5.60444950802313,4.347345698051,4.24407418149782
200,10,30,74.2160887487488,60.3235405263799,60.3637086294829,3.25676532967625,2.98251892248493,3.4708723460156
200,10,40,80.9456677121261,55.2648712402528,55.2037027055817,3.54597256987471,2.91704760675142,2.62141241896911
200,20,30,80.0144217885956,52.329688787377,52.3561342389266,5.93364435259664,4.48718537328202,4.45087363852086
200,20,40,87.1876591769594,45.1908869117591,44.6841257597799,2.91350755422146,5.17286286129136,5.38840691177107
