Algorithm,Gear1,Gear2,Gear3,Gear4,OptimalCost,Rank
BKA,49,16,19,43,2.70085714888651e-12,1
WOA,49,19,16,43,2.70085714888651e-12,2
ALO,43,19,16,49,2.70085714888651e-12,3
SCA,34,13,20,53,2.30781573331276e-11,4
EPLO,53,26,15,51,2.30781573331276e-11,5
HHO,44,13,21,43,1.54504504998908e-10,6
PLO,57,37,12,54,8.88761437271446e-10,7
FOX,52,15,19,38,2.35764065802488e-09,8
MFO,52,14,30,56,2.35764065802488e-09,9
GSA,51,13,17,30,2.72645059771529e-08,10
BA,45,14,18,45,1.15552971472981e-07,11
