Algorithm,Gear1,Gear2,Gear3,Gear4,OptimalCost,Rank
EPLO,48.9354686023692,16.2353216092657,18.9971128825154,42.8407385853875,2.70085714888651e-12,1
ALO,43.1838512697255,19.4179283143564,16.3517314182106,48.8105625609573,2.70085714888651e-12,2
HHO,52.774535067334,19.7905873593278,12.9427635296346,33.7353734427775,2.30781573331276e-11,3
FOX,56.8544499871584,12.7307031318289,31.3719974452611,48.9131533136169,9.93987559521747e-11,4
PLO,56.6020475651893,12,36.6847816662855,53.6213075921305,8.88761437271446e-10,5
BA,52.3859658495673,13.851846308271,29.680152474814,56.5135281162107,2.35764065802488e-09,6
GSA,44.8171898323481,21.1901938846278,12.9475598597369,42.4784438038978,2.72645059771529e-08,7
MFO,50.5527809347101,20.4680008136476,17.1443731463188,45.6225345959407,4.20178095739663e-07,8
