Repeat,ALE,time_s
1,15.8807617203716,23.1146347
2,17.7610322828344,22.6448643
3,19.0430726631721,22.6385194
4,20.6435993828097,22.4637741
5,17.0143378776636,22.4979969
6,15.676797091074,22.670221
7,17.6186251236417,22.3390328
8,16.7947475569706,22.7218435
9,17.3065229536814,22.9527629
10,15.9450974530408,22.8602702
